ID,Dominant,Attempts,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,LeaveSurface,Side,TimeContact,ZeroVel,ZeroAcc,PC
10,1,2,0,27.735,106.8254503,7185,5986,4701,5561,5879,4.758624196,1,1,27.71,2.945,2.055,0
10,0,2,0,26.65,116.3105371,6564,6000,4420,5327,4752,4.837145472,1,1,26.575,1.36,1.43,0
1,1,2,0,35.97,163.6967658,12252,5391,6327,4830,10154,5.101397398,1,1,35.955,3.645,3.24,0
1,0,2,0,37.23,168.1937083,10251,9734,8706,4237,5978,5.037942685,1,1,37.21,3.435,4.135,0
11,1,2,0,18.465,157.9784543,5152,4091,3002,3438,4344,4.768268025,1,1,18.43,2.325,0.875,0
11,0,2,0,18.615,90.48540831,4000,2376,4734,3924,3856,4.92858699,1,1,18.56,1.55,0.75,0
12,1,2,0,17.115,111.9211586,4125,4125,2280,3279,3096,4.96946759,1,1,16.625,1.555,0.715,0
12,0,2,0,23.57,222.583199,6536,5095,7594,3279,2361,5.778517357,1,1,23.495,0.87,1.34,0
13,1,2,0,42.575,203.3943638,11936,6966,6643,8958,9919,5.105507835,1,1,42.37,4.77,4.36,0
13,0,2,0,47.78,146.052245,3367,12048,14203,8704,7347,6.020403513,1,1,46.56,6.465,6.205,0
14,1,2,0,28.795,118.8612966,7737,5279,3330,5327,7985,4.712832428,1,1,28.765,3.24,2.895,0
14,0,2,0,41.115,153.3678965,12735,7982,6906,8344,8033,4.734010669,1,1,41.09,4.635,4.905,0
15,1,2,0,41.885,79.10644492,12201,6525,7622,10777,8514,4.147268478,1,2,41.87,4.99,4.645,0
15,0,2,0,51.11,141.6645293,16108,8924,7116,12933,10581,4.259490236,1,2,51.07,7.46,7.045,0
16,1,2,0,38.985,84.60819943,8712,6692,5693,10867,8226,4.148982145,0,1,38.985,3.805,4.91,0
16,0,2,0,37.11,129.7379609,7300,9107,7904,8217,6567,4.132314846,1,1,37.09,3.325,4.455,0
17,1,2,0,25.215,108.8849017,6071,7803,6935,2121,6735,1.097096152,1,1,25.11,5.395,5.425,0
17,0,2,0,32.11,128.5073444,6098,6831,6802,8016,7162,1.081330279,1,1,32.075,7.765,7.525,0
18,1,2,0,23.745,152.0594877,5848,3747,4009,4851,6456,4.137838738,1,1,23.67,1.69,2.625,0
18,0,2,0,24.69,141.861109,5172,5902,5196,4178,4730,4.111085691,1,1,24.64,0.915,2.5,0
19,1,2,0,35.27,108.8956087,6178,7719,8769,6316,8465,4.227862947,1,1,35.16,4.1,3.645,0
19,0,2,0,42.925,93.66428931,9695,9555,7311,8805,8544,4.185415778,1,1,42.845,4.23,5.82,0
2,0,2,0,29.24,173.445548,6609,5909,5952,5687,5391,4.768956508,1,2,29.225,0.9,1.865,0
23,1,2,0,54.285,110.7350983,13909,9021,9065,17119,10218,4.344217471,2,1,53.7,7.775,6.675,0
23,0,2,0,46.905,131.6993979,11435,10067,9287,9818,8925,4.111363729,1,1,46.885,4.61,6.115,0
24,1,2,0,21.225,142.7840762,3961,5635,3877,4848,3539,4.164355262,1,2,21.19,2.165,1.66,0
24,0,2,0,25.12,118.6731594,5757,5920,4522,4748,4574,4.214511576,1,2,25.015,2.135,2.815,0
25,1,2,0,19.995,121.5054845,5294,5475,3589,4170,3165,4.087629453,1,2,19.975,2.125,1.645,0
25,0,2,0,15.6,187.6188161,2609,2614,2859,3945,3827,4.107694575,2,2,15.485,1.235,1.23,0
26,1,2,0,24.405,117.6897553,6238,4990,3308,4928,5431,4.06893362,0,1,24.405,1.215,1.785,0
26,0,2,0,42.79,131.4963604,9308,9313,7496,9799,7987,4.169001821,1,1,42.76,3.075,4.76,0
27,1,2,0,25.56,142.4480547,7490,4611,3388,6108,6260,4.340831773,2,1,25.025,3.615,2.355,0
27,0,2,0,23.545,136.1624668,5509,4969,3391,5897,4439,4.1093705,1,1,23.515,1.575,2.015,0
28,1,2,0,37.315,80.26895629,9274,9626,7296,7781,7918,4.207583843,0,2,37.315,8.735,4.82,0
28,0,2,0,27.12,153.144887,5224,4838,4883,8319,6822,4.21900194,1,2,27.095,5.285,2.85,0
29,1,2,0,42.6,143.4278804,10993,8331,6435,10447,9153,4.445905318,3,2,41.68,5.965,5.22,0
29,0,2,0,33.44,164.8530541,9925,6726,5961,7462,6693,4.206755162,1,2,33.395,4.275,3.995,0
3,1,2,0,41.2,104.6313582,9955,9747,10472,6046,8078,5.034687404,4,1,40.325,9.03,4.205,0
3,0,2,0,43.79,164.624316,10735,12302,5229,7408,9999,5.46787676,1,1,42.935,3.585,4.3,0
4,1,2,0,13.31,288.9086265,3778,2626,1861,2279,3065,4.804681681,0,1,13.31,0.59,0.285,0
4,0,2,0,14.675,273.2182621,4003,2746,2558,2703,2811,4.714268934,2,1,14.39,0.46,0.285,0
5,1,2,0,42.605,111.8199646,10054,7530,8241,10182,8009,4.268977603,3,1,41.195,3.8,5.485,0
5,0,2,0,41.015,124.9593773,11670,9549,7532,6486,6619,4.079759317,1,1,41,3.565,5.37,0
6,1,2,0,29.11,142.306114,10909,6298,6234,4369,4426,5.180592934,4,1,28.03,3.585,2.11,0
7,1,2,0,34.685,219.651953,9223,4282,7109,5967,8937,4.956430174,2,1,34.6,2.935,3.03,0
7,0,2,0,42.67,124.8303278,12298,8767,8907,6174,7418,4.570186688,1,1,42.615,2.8,3.955,0
8,1,2,0,14.905,177.4963263,3512,2639,4015,2283,2966,4.782452967,1,1,14.885,1.365,0.755,0
8,0,2,0,19.145,139.927811,5587,4124,4829,2732,2770,4.773146547,1,1,19.05,1.515,1.275,0
9,1,2,0,32.955,219.1664485,8062,5671,6078,6048,9626,4.768367847,1,1,32.93,3.705,3.305,0
9,0,2,0,43.89,242.292596,13015,7096,8362,8304,10091,4.867007205,1,1,43.81,5.055,4.61,0
10,1,2,20,30.01,227.8577077,6777,4384,4915,5074,9959,4.399645528,4,1,28.715,2.345,1.88,1
10,0,2,20,28.535,130.5310508,8914,4899,3039,6210,6592,5.02285354,3,1,27.37,1.805,1.5,1
1,1,2,5.5,18.34,121.8005876,4078,2548,3890,3062,5502,4.650809475,1,1,18.315,2.135,1.32,1
1,0,2,5.5,18.345,183.5378608,6473,3014,4155,2347,3795,4.89593226,1,1,18.295,2.075,1.275,1
11,1,2,10,16.905,207.8655637,6361,3754,2574,2515,5000,4.833621146,1,1,16.865,2.43,1.035,1
11,0,2,10,18.565,162.1732881,5640,4109,3155,5233,4328,5.542535993,5,1,18.085,1.195,0.665,1
12,1,2,4,46.64,127.6813024,11588,16207,6697,7133,6279,4.539432473,1,1,46.33,2.475,6.335,1
12,0,2,4,37.885,175.8321395,4396,3667,1117,15482,13286,5.110178496,1,1,36.14,0.505,4.255,1
13,1,2,2.5,81.49,218.3293668,16425,10390,15891,11515,33968,5.695630211,16,1,77.07,13.8,8.725,1
13,0,2,2.5,56.03,212.8610473,13543,5375,12064,9283,19407,5.268572425,2,1,55.015,6.515,5.66,1
14,1,2,5,42.065,185.606489,17956,8154,8560,5767,5906,4.879980967,1,2,42.04,6.855,3.58,1
14,0,2,5,48.62,155.7209329,11584,9181,11459,8282,13624,4.897160767,1,2,48.45,7.65,4.615,1
15,1,2,15,17.035,195.1866413,4249,3095,4750,3020,3261,5.080470598,2,1,16.585,1.925,0.98,1
15,0,2,15,22.18,280.9601104,8121,4609,3628,4126,4390,4.810308921,1,1,22.13,2.81,1.66,1
16,1,2,5.5,28.61,139.4611818,8095,5732,7627,5875,4313,4.741701407,1,1,28.58,4.49,2.55,1
16,0,2,5.5,30.325,142.9032669,9987,1812,2828,6250,13842,5.644806384,2,1,28.77,4.085,3.205,1
17,1,2,2,41.495,109.7487935,10316,8423,9847,7448,9780,4.693533409,1,1,41.37,7.8,4.885,1
17,0,2,2,52.45,162.0752065,19296,10530,11174,7625,9407,4.788881182,1,1,52.325,10.3,6.475,1
18,1,2,11.5,45.585,105.095672,9672,8966,6082,11730,9768,4.90755796,1,1,44.68,4.79,5.27,1
18,0,2,11.5,70.27,89.36059459,20286,13372,12047,13891,15530,4.835031084,1,1,70.2,8.61,10.375,1
19,1,2,5.5,34.715,80.89646549,5920,7096,6734,10386,6266,4.962683064,3,2,34.5,3.7,3.395,1
19,0,2,5.5,31.995,249.5713037,4250,5595,4687,10015,7205,5.046163258,1,2,31.63,1.945,2.6,1
20,1,2,7,23.115,208.7901385,4168,5546,4704,4499,4832,4.746063189,1,1,23.035,1.785,1.655,1
20,0,2,7,35.1,146.9145683,9939,5107,11471,3094,3671,5.623786202,1,1,34.8,2.475,2.56,1
21,1,2,7,32.675,126.9614357,7066,5779,5488,7060,8373,4.709800809,1,1,31.59,3.98,3.185,1
21,0,2,7,43.89,132.0654735,9377,8826,7122,5972,9484,5.519459529,1,1,40.555,6.87,5.335,1
22,1,2,2,27.1,169.1666081,6076,5297,5281,4951,6081,4.645928686,1,1,27.04,1.985,2.005,1
22,0,2,2,34.86,152.6872694,8783,8362,6265,6202,5671,4.744968219,1,1,34.82,2.115,3.135,1
2,1,2,8,33.675,159.5219931,9964,5189,3844,6985,8799,5.530178173,1,1,32.425,4.38,2.645,1
2,0,2,8,33.52,202.478321,10700,7031,7202,4529,5226,5.077872167,4,1,33.18,3.365,2.195,1
23,1,2,6,55.685,118.2193641,14723,14370,9923,11015,8969,4.760513569,3,2,54.51,6.375,7.18,1
23,0,2,6,64.04,147.6283338,12419,12482,12922,15785,11436,4.607352931,1,2,63.985,5.81,7.335,1
24,1,2,4,34.44,95.91061894,6595,6295,5954,8564,7577,4.314505928,1,1,34.43,1.665,3.88,1
24,0,2,4,56.39,116.9542667,15704,9671,9422,11967,10534,4.485150212,1,1,56.365,3.11,7.59,1
25,1,2,3.5,30.555,169.1722785,6826,6928,3545,5909,8512,4.98326462,3,1,29.715,3.5,2.925,1
25,0,2,3.5,43.12,141.033592,9770,13637,6907,8814,6718,4.569689713,2,1,42.935,7.705,4.065,1
26,1,2,2.5,100.71,113.144926,26157,20984,11228,26718,20975,4.276353387,1,1,99.615,19.065,17.495,1
26,0,2,2.5,67.585,113.6731778,21924,12336,13578,14258,10902,4.179629635,1,1,67.46,8.4,11.11,1
27,1,2,6.5,18.475,313.5909075,5435,2736,2408,2377,3176,4.083873109,3,1,13.14,1.855,1.425,1
27,0,2,6.5,20,228.8166907,5293,4950,4692,3221,3089,4.312123141,2,1,19.575,1.57,1.26,1
28,1,2,9,66.11,162.5325879,19413,15606,5145,13651,14567,4.453061896,3,1,65.63,7.535,10.02,1
28,0,2,9,103.96,157.5680215,27492,24698,16053,19036,19696,5.12088906,22,1,92.845,21.045,18.275,1
29,1,2,12,67.465,121.2311928,14630,24760,10985,14207,12403,4.601297533,6,2,65.615,12.47,8.56,1
29,0,2,12,75.685,84.78674349,17253,12535,11256,18855,23955,4.242421656,1,2,75.605,16.63,11.225,1
30,1,2,2.5,23.925,160.161858,5096,3650,2907,6494,6768,4.414180578,2,1,23.305,2.01,1.88,1
